0 Hunter Mercado 3
1 Kamal Fischer 5
2 Mallory Sandoval 2
3 MacKenzie Holland 2
4 Ila Graves 2
5 Faith Williams 5
6 Ignacia Sellers 4
7 Samson Waller 6
8 Travis Edwards 6
9 Hayley Snow 2
10 Nadine Hull 4
11 Ryan Riddle 4
12 Lillian Colon 3
13 Bevis Arnold 3
14 Wang Wade 4
15 Quamar Gallegos 4
16 Rudyard Rosa 5
17 Jorden Hurley 4
18 Jael Wade 6
19 Dale Love 6
20 Isaac Delacruz 3
21 Adele Beard 2
22 Kirestin Mullins 3
23 Uta Reilly 3
24 Dane Patel 3
25 Robin Jefferson 5
26 Daphne Fitzpatrick 4
27 Vivian Rodriguez 6
28 Iliana Dixon 6
29 Fletcher Jennings 3
30 Demetria Valentine 4
31 Martha Velasquez 5
32 Rinah Johnston 3
33 Candace Henderson 2
34 Keefe Morin 5
35 Samuel Huff 3
36 Jaden Owen 4
37 Stephanie Moody 3
38 Phelan Benjamin 4
39 Kylie Hansen 2
40 Tyrone Moran 6
41 Justina Finley 6
42 Caldwell Bradley 3
43 Isabelle Doyle 5
44 Judah Roberson 4
45 Devin Mcmillan 6
46 ale male 2
